n,k,M,r,Tp,Tc,f,cl,cm,cu,cv
4039,1,886475,14,414081682,199483957,1,4039,4039,4039,0
4039,1,886475,14,480878348,199339050,1,4039,4039,4039,0
4039,1,886475,14,484088717,199336856,1,4039,4039,4039,0
4039,1,886475,14,485444254,199199357,1,4039,4039,4039,0
4039,1,886475,14,486300122,198698084,1,4039,4039,4039,0
4039,1,886475,14,486994755,198486237,1,4039,4039,4039,0
4039,1,886475,14,487395922,198994712,1,4039,4039,4039,0
4039,1,886475,14,487845667,199361871,1,4039,4039,4039,0
4039,1,886475,14,489414587,199214475,1,4039,4039,4039,0
4039,1,886475,14,489627853,199133063,1,4039,4039,4039,0
4039,1,886475,14,489642269,198992280,1,4039,4039,4039,0
4039,1,886475,14,489987966,198578809,1,4039,4039,4039,0
4039,1,886475,14,490872050,200117286,1,4039,4039,4039,0
4039,1,886475,14,491796901,199425935,1,4039,4039,4039,0
4039,1,886475,14,492476849,200176177,1,4039,4039,4039,0
4039,1,886475,14,496727356,200359014,1,4039,4039,4039,0
4039,1,886475,14,498388626,197831486,1,4039,4039,4039,0
4039,1,886475,14,500104436,200644573,1,4039,4039,4039,0
4039,1,886475,14,500576015,199115141,1,4039,4039,4039,0
4039,1,886475,14,502344549,199669886,1,4039,4039,4039,0
4039,1,886475,14,502417214,199562869,1,4039,4039,4039,0
4039,1,886475,14,503742361,199057904,1,4039,4039,4039,0
4039,1,886475,14,504064231,199494495,1,4039,4039,4039,0
4039,1,886475,14,511726708,198627276,1,4039,4039,4039,0
4039,1,886475,14,514773119,198871237,1,4039,4039,4039,0
4039,1,886475,14,514820997,200000824,1,4039,4039,4039,0
4039,1,886475,14,517377534,198561633,1,4039,4039,4039,0
4039,1,886475,14,519383913,256790924,1,4039,4039,4039,0
4039,1,886475,14,519975054,202922778,1,4039,4039,4039,0
4039,1,886475,14,519977007,211362149,1,4039,4039,4039,0
4039,1,886475,14,521026070,212031819,1,4039,4039,4039,0
4039,1,886475,14,524379845,207306606,1,4039,4039,4039,0
4039,1,886475,14,524458520,201966298,1,4039,4039,4039,0
